kode_provinsi ;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;data_pokok;tahun_ajaran;status;jenjang_pendidikan;jumlah
15;JAMBI;1501;Kab. Kerinci;150120;Bukit Kerman;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1501;Kab. Kerinci;150102;Danau Kerinci;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1501;Kab. Kerinci;150102;Danau Kerinci;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1501;Kab. Kerinci;150102;Danau Kerinci;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;3
15;JAMBI;1501;Kab. Kerinci;150102;Danau Kerinci;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;1
15;JAMBI;1501;Kab. Kerinci;150102;Danau Kerinci;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1501;Kab. Kerinci;150102;Danau Kerinci;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1501;Kab. Kerinci;150117;Depati Tujuh;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1501;Kab. Kerinci;150117;Depati Tujuh;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1501;Kab. Kerinci;150117;Depati Tujuh;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;0
15;JAMBI;1501;Kab. Kerinci;150117;Depati Tujuh;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1501;Kab. Kerinci;150117;Depati Tujuh;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1501;Kab. Kerinci;150117;Depati Tujuh;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1501;Kab. Kerinci;150106;Gunung Kerinci;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;1
15;JAMBI;1501;Kab. Kerinci;150106;Gunung Kerinci;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1501;Kab. Kerinci;150106;Gunung Kerinci;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1501;Kab. Kerinci;150106;Gunung Kerinci;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1501;Kab. Kerinci;150106;Gunung Kerinci;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1501;Kab. Kerinci;150106;Gunung Kerinci;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;1
15;JAMBI;1501;Kab. Kerinci;150101;Gunung Raya;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1501;Kab. Kerinci;150101;Gunung Raya;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1501;Kab. Kerinci;150101;Gunung Raya;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1501;Kab. Kerinci;150101;Gunung Raya;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1501;Kab. Kerinci;150101;Gunung Raya;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1501;Kab. Kerinci;150101;Gunung Raya;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1501;Kab. Kerinci;150115;Gunung Tujuh;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1501;Kab. Kerinci;150115;Gunung Tujuh;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1501;Kab. Kerinci;150115;Gunung Tujuh;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;0
15;JAMBI;1501;Kab. Kerinci;150115;Gunung Tujuh;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;1
