kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;kode_kecamatan;nama_kecamatan;nilai_idm_kecamatan;status_idm_kecamatan;tahun
15;JAMBI;1501;KERINCI;150118;SIULAK MUKAI;0,6566;BERKEMBANG;2024
15;JAMBI;1506;TANJUNG JABUNG BARAT;150610;SEBERANG KOTA;0,6559;BERKEMBANG;2024
15;JAMBI;1506;TANJUNG JABUNG BARAT;150603;PENGABUAN;0,6559;BERKEMBANG;2024
15;JAMBI;1507;TANJUNG JABUNG TIMUR;150701;MUARA SABAK TIMUR;0,6556;BERKEMBANG;2024
15;JAMBI;1503;SAROLANGUN;150302;LIMUN;0,6553;BERKEMBANG;2024
15;JAMBI;1509;TEBO;150905;SUMAY;0,6521;BERKEMBANG;2024
15;JAMBI;1501;KERINCI;150106;GUNUNG KERINCI;0,6490;BERKEMBANG;2024
15;JAMBI;1503;SAROLANGUN;150301;BATANG ASAI;0,6426;BERKEMBANG;2024
15;JAMBI;1506;TANJUNG JABUNG BARAT;150612;KUALA BETARA;0,6292;BERKEMBANG;2024
15;JAMBI;1507;TANJUNG JABUNG TIMUR;150705;S A D U;0,6019;BERKEMBANG;2024
