id;kode_provinsi ;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;data_pokok;tahun_ajaran;status;jenjang_pendidikan;jumlah
232;15;JAMBI;1501;150116;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;1
233;15;JAMBI;1501;150116;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
234;15;JAMBI;1501;150116;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
235;15;JAMBI;1501;150118;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
236;15;JAMBI;1501;150118;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
237;15;JAMBI;1501;150118;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
238;15;JAMBI;1501;150118;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
239;15;JAMBI;1501;150118;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
240;15;JAMBI;1501;150118;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
241;15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;1
242;15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
243;15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;3
244;15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;2
245;15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
246;15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
247;15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
248;15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
249;15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;0
250;15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
251;15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
252;15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
253;15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
254;15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
255;15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
256;15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;1
257;15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
258;15;JAMBI;1502;;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
259;15;JAMBI;1502;150201;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
260;15;JAMBI;1502;150201;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
261;15;JAMBI;1502;150201;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
262;15;JAMBI;1502;150201;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
263;15;JAMBI;1502;150201;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
264;15;JAMBI;1502;150201;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
265;15;JAMBI;1502;150218;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
266;15;JAMBI;1502;150218;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
267;15;JAMBI;1502;150218;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
268;15;JAMBI;1502;150218;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
269;15;JAMBI;1502;150218;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
270;15;JAMBI;1502;150218;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
271;15;JAMBI;1502;150209;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
272;15;JAMBI;1502;150209;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
273;15;JAMBI;1502;150209;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
