NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;satuan;semester;jumlah_penduduk;tahun
202;15;JAMBI;1503;150309;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;19951;2022
203;15;JAMBI;1503;150309;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;21195;2022
204;15;JAMBI;1503;150309;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;20421;2022
205;15;JAMBI;1503;150310;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;6864;2022
206;15;JAMBI;1503;150310;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;6702;2022
207;15;JAMBI;1503;150310;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;7119;2022
208;15;JAMBI;1503;150310;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;6889;2022
209;15;JAMBI;1503;150311;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;6686;2022
210;15;JAMBI;1503;150311;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;6129;2022
211;15;JAMBI;1503;150311;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;6885;2022
212;15;JAMBI;1503;150311;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;6326;2022
213;15;JAMBI;1504;150401;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;17197;2022
214;15;JAMBI;1504;150401;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;16340;2022
215;15;JAMBI;1504;150401;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;17201;2022
216;15;JAMBI;1504;150401;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;16437;2022
