id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_kecamatan,nama_kecamatan,kategori,data,satuan,semester,jumlah,tahun
455,15,JAMBI,1508,BUNGO,150801,TANAH TUMBUH,PEREKAMAN KTP,REKAM KTP,JIWA,1,10804,2022
456,15,JAMBI,1501,KERINCI,150105,AIR HANGAT,PEREKAMAN KTP,REKAM KTP,JIWA,1,8983,2022
457,15,JAMBI,1501,KERINCI,150121,AIR HANGAT BARAT,PEREKAMAN KTP,REKAM KTP,JIWA,1,7676,2022
458,15,JAMBI,1501,KERINCI,150111,AIR HANGAT TIMUR,PEREKAMAN KTP,REKAM KTP,JIWA,1,15678,2022
459,15,JAMBI,1501,KERINCI,150107,BATANG MERANGIN,PEREKAMAN KTP,REKAM KTP,JIWA,1,8969,2022
460,15,JAMBI,1501,KERINCI,150120,BUKITKERMAN,PEREKAMAN KTP,REKAM KTP,JIWA,1,9864,2022
461,15,JAMBI,1501,KERINCI,150102,DANAU KERINCI,PEREKAMAN KTP,REKAM KTP,JIWA,1,9943,2022
462,15,JAMBI,1501,KERINCI,150123,DANAU KERINCI BARAT,PEREKAMAN KTP,REKAM KTP,JIWA,1,9666,2022
463,15,JAMBI,1501,KERINCI,150117,DEPATI TUJUH,PEREKAMAN KTP,REKAM KTP,JIWA,1,13028,2022
464,15,JAMBI,1501,KERINCI,150106,GUNUNG KERINCI,PEREKAMAN KTP,REKAM KTP,JIWA,1,9299,2022
465,15,JAMBI,1501,KERINCI,150101,GUNUNG RAYA,PEREKAMAN KTP,REKAM KTP,JIWA,1,6513,2022
466,15,JAMBI,1501,KERINCI,150115,GUNUNG TUJUH,PEREKAMAN KTP,REKAM KTP,JIWA,1,10741,2022
467,15,JAMBI,1501,KERINCI,150109,KAYU ARO,PEREKAMAN KTP,REKAM KTP,JIWA,1,14210,2022
468,15,JAMBI,1501,KERINCI,150119,KAYU ARO BARAT,PEREKAMAN KTP,REKAM KTP,JIWA,1,15311,2022
469,15,JAMBI,1501,KERINCI,150108,KELILING DANAU,PEREKAMAN KTP,REKAM KTP,JIWA,1,10362,2022
470,15,JAMBI,1501,KERINCI,150104,SITINJAU LAUT,PEREKAMAN KTP,REKAM KTP,JIWA,1,7788,2022
471,15,JAMBI,1501,KERINCI,150116,SIULAK,PEREKAMAN KTP,REKAM KTP,JIWA,1,16929,2022
472,15,JAMBI,1501,KERINCI,150118,SIULAK MUKAI,PEREKAMAN KTP,REKAM KTP,JIWA,1,8694,2022
473,15,JAMBI,1501,KERINCI,150122,TANAH COGOK,PEREKAMAN KTP,REKAM KTP,JIWA,1,7226,2022
474,15,JAMBI,1571,KOTA JAMBI,157109,ALAM BARAJO,PEREKAMAN KTP,REKAM KTP,JIWA,1,77260,2022
475,15,JAMBI,1571,KOTA JAMBI,157110,DANAU SIPIN,PEREKAMAN KTP,REKAM KTP,JIWA,1,30979,2022
476,15,JAMBI,1571,KOTA JAMBI,157106,DANAU TELUK,PEREKAMAN KTP,REKAM KTP,JIWA,1,9330,2022
477,15,JAMBI,1571,KOTA JAMBI,157102,JAMBI SELATAN,PEREKAMAN KTP,REKAM KTP,JIWA,1,42023,2022
478,15,JAMBI,1571,KOTA JAMBI,157103,JAMBI TIMUR,PEREKAMAN KTP,REKAM KTP,JIWA,1,48488,2022
479,15,JAMBI,1571,KOTA JAMBI,157108,JELUTUNG,PEREKAMAN KTP,REKAM KTP,JIWA,1,44052,2022
480,15,JAMBI,1571,KOTA JAMBI,157107,KOTA BARU,PEREKAMAN KTP,REKAM KTP,JIWA,1,58778,2022
481,15,JAMBI,1571,KOTA JAMBI,157111,PAAL MERAH,PEREKAMAN KTP,REKAM KTP,JIWA,1,76006,2022
