no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;nama_perusahaan;nib;Day of tanggal_terbit_oss;status_penanaman_modal;flag_umk;uraian_jenis_perusahaan;alamat_perusahaan
81;15;JAMBI;1571;KOTA JAMBI;SINAR TERANG PAGI;2701230050085;01/27/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Kol Pol M Taher No. 6 Rt. 24 
82;15;JAMBI;1571;KOTA JAMBI;GOODFOOD SUKSES PERKASA;2701230062494;01/27/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Kopral Ud Syaring 
83;15;JAMBI;1571;KOTA JAMBI;SEBERANG SUNGAI BATANGHARI;2801230004884;01/28/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Arjuna Lrg. Marene No. 109
84;15;JAMBI;1571;KOTA JAMBI;SENTOSA BATANGHARI MAKMUR;2801230012354;01/28/2023;PMDN;Non UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Sentot Alibasyah Lorong Masjid Taqwa Nomor  88
85;15;JAMBI;1501;KERINCI;MEDINA ARIFA;2801230014319;01/28/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Raya Pasar Semurup
86;15;JAMBI;1571;KOTA JAMBI;AQIL SEJAHTERA MANDIRI;3001230058864;01/30/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Asparagus Iv Sanur Permai No. 88
87;15;JAMBI;1571;KOTA JAMBI;HENDEBRO;3001230061246;01/30/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl Premix Komplek Rifaza V Blok. D 08
88;15;JAMBI;1571;KOTA JAMBI;TRIPUTRA ABADI MAKMUR;3001230066795;01/30/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Bhayangkara Blok. E Nomor 11
89;15;JAMBI;1571;KOTA JAMBI;ANDALAS JAYA PUTRA;3101230008544;01/31/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Orang Kayo Pingai
90;15;JAMBI;1571;KOTA JAMBI;ZOYAN AL RAZAAK;3101230014664;01/31/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Kimaja 4 
