NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kategori;jenis_psks;jumlah;satuan;tahun
152;15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;3;ORANG;2024
153;15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;3;ORANG;2024
154;15;JAMBI;1502;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;1;ORANG;2021
155;15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;1;ORANG;2021
156;15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;2;ORANG;2021
157;15;JAMBI;1507;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;1;ORANG;2021
158;15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;2;ORANG;2021
159;15;JAMBI;1502;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;1;ORANG;2022
160;15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;7;ORANG;2022
161;15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;1;ORANG;2022
162;15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;2;ORANG;2022
163;15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;2;ORANG;2022
164;15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;2;ORANG;2022
165;15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;7;ORANG;2023
166;15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;4;ORANG;2023
167;15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;1;ORANG;2023
168;15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;2;ORANG;2024
169;15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;4;ORANG;2024
170;15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;4;ORANG;2024
171;15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;2;ORANG;2024
172;15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL MASYARAKAT;60;ORANG;2021
173;15;JAMBI;1502;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL MASYARAKAT;215;ORANG;2021
174;15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL MASYARAKAT;6;ORANG;2021
175;15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL MASYARAKAT;89;ORANG;2021
176;15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL MASYARAKAT;11;ORANG;2021
177;15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL MASYARAKAT;18;ORANG;2021
178;15;JAMBI;1507;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL MASYARAKAT;30;ORANG;2021
179;15;JAMBI;1508;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL MASYARAKAT;56;ORANG;2021
180;15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL MASYARAKAT;4;ORANG;2021
181;15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL MASYARAKAT;53;ORANG;2021
182;15;JAMBI;1572;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL MASYARAKAT;69;ORANG;2021
183;15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL MASYARAKAT;60;ORANG;2022
184;15;JAMBI;1502;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL MASYARAKAT;215;ORANG;2022
