kode_provinsi;nama_provinsi;kode_kabupaten_kota;kategori;jenis_psks;jumlah;satuan;tahun
15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;2;ORANG;2024
15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL MASYARAKAT;60;ORANG;2021
15;JAMBI;1502;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL MASYARAKAT;215;ORANG;2021
15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL MASYARAKAT;6;ORANG;2021
15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL MASYARAKAT;89;ORANG;2021
15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL MASYARAKAT;11;ORANG;2021
15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL MASYARAKAT;18;ORANG;2021
15;JAMBI;1507;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL MASYARAKAT;30;ORANG;2021
15;JAMBI;1508;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL MASYARAKAT;56;ORANG;2021
15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL MASYARAKAT;4;ORANG;2021
15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL MASYARAKAT;53;ORANG;2021
15;JAMBI;1572;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL MASYARAKAT;69;ORANG;2021
15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL MASYARAKAT;60;ORANG;2022
