kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_ruas_jalan;kondisi;panjang_jalan;satuan;tahun
15;JAMBI;1571;JLN. KAPTEN PATTIMURA - JLN. KAPTEN BAKARUDDIN;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1571;JLN. KOL. ABUNJANI - JLN. SUMANTRI BROJONEGORO;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1571;JL. R. SIAGIAN;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1571;SIMP. ALKAL - BANDARA SULTAN THAHA SYAIFUDDIN - LINGKAR TIMUR;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1506;SEI. SAREN 0 TELUK NILAU 0 PARIT 10/ SENYERANG;RUSAK BERAT;0,26;KILOMETER;2022
15;JAMBI;1506;PARIT 10 / SENYERANG 0 MEKAR JATI 0 BTS. RIAU;RUSAK BERAT;0,4;KILOMETER;2022
15;JAMBI;1507;SUAK KANDIS 0 DESA SIMPANG/BERBAK;RUSAK BERAT;3,666;KILOMETER;2022
15;JAMBI;1507;DESA SIMPANG/BERBAK - SIMP. JEMBATAN MUARA SABAK;RUSAK BERAT;4,4;KILOMETER;2022
15;JAMBI;1507;SP. LAGAN - SP. PELABI/ ZONA V;RUSAK BERAT;5;KILOMETER;2022
15;JAMBI;1505;SIMPANG TALANG PUDAK - SUAK KANDIS;RUSAK BERAT;3,4;KILOMETER;2022
15;JAMBI;1505;SUNGAI DUREN - SUNGAI BULUH;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1505;TEMPINO - BTS. KAB. MA. JAMBI/BTS. BATANGHARI;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1505;SIMP. AHOK (KOTA JAMBI) - SIMP. PASAR BUPER - BUMI PERKEMAHAN PRAMUKA;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1509;MUARA TEBO - SIMP. LOGPON;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1509;SIMP. LOGPON - TANJUNG/BTS. SUMBAR;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1509;SIMP. SAWMIL - SIMP. LOGPON ;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1508;MA. BUNGO - PENINJAUAN - JUNCTION;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1508;PENINJAUAN - LBK MENGKUANG - TKA ( BTS. SUMBAR );RUSAK BERAT;0,202;KILOMETER;2022
15;JAMBI;1508;JALAN LINGKAR MUARA BUNGO (SEI. MENGKUANG - SIMP. SEI. BULUH - SIMP. TANJUNG MENANTI - SIMP. TERMINAL/PTP - SEI. BINJAI);RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1504;BTS. KAB. MA. JAMBI/KAB. BATANGHARI - BTS. KOTA MUARA BULIAN;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1504;JL. SUDIRMAN (MA.BULIAN);RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1504;SIMP. PENEROKAN - SIMP. SUKA MAKMUR/SUNGAI BAHAR;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1501;SANGGARAN AGUNG - JUJUN;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1501;JUJUN - LEMPUR;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1501;JUJUN - BTS. KAB. KERINCI/BTS. KOTA SUNGAI PENUH;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1572;JALAN DEPATI PARBO (SUNGAI PENUH);RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1572;SIMP. DEBAI - DUSUN BARU - BATAS KOTA SUNGAI PENUH - SIMP. 4. SEBUKAR;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1502;SIMP. MARGOYOSO - SUMBER AGUNG - AIR HITAM/SIMP. MENTAWAK;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1502;SIMP. PULAU. RENGAS -  MUARA SIAU;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1502;MUARA SIAU - DUSUN TUO ;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1502;DUSUN TUO - JANGKAT ;RUSAK BERAT;0,203;KILOMETER;2022
15;JAMBI;1503;SIMP. PELAWAN - SEI. SALAK ;RUSAK BERAT;0,2;KILOMETER;2022
15;JAMBI;1503;SEI. SALAK - PEKAN GEDANG/ BATANG ASAI;RUSAK BERAT;0,4;KILOMETER;2022
15;JAMBI;1503;PEKAN GEDANG/BATANG ASAI - MA. TALANG - JANGKAT   ;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1503;SIMP. PAUH - AIR HITAM/SIMP. MENTAWAK;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1571;JLN. RADEN MATTAHER - JLN. M. HUSNI THAMRIN ;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1571;JL. RANGKAYO HITAM - JL. ABDUL KARTAWIRANA - JL. RANGKAYO PINGAI - JL. SENTOT ALIBASA;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1571;JLN. DR. SUTOMO;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1571;JLN. DR. SETIA BUDI - JLN. KH. HASIM ASHARI - JLN. PANGERAN DIPONEGORO;RUSAK BERAT;0;KILOMETER;2022
15;JAMBI;1571;JLN. GAJAH MADA - JLN. HAYAM WURUK;RUSAK BERAT;0;KILOMETER;2022
