no;kode_provinsi;provinsi;kode_kabupaten_kota;kode_kecamatan;nama_daya_tarik_wisata;jenis_daya_tarik_wisata
209;15;JAMBI;1501;150117;Taman Putri Tunggal ;Buatan 
210;15;JAMBI;1501;150116;Taman Rekreasi Pancuran Tujuh ;Buatan 
211;15;JAMBI;1501;150107;Taman Wisata Sisik Melik;Buatan
212;15;JAMBI;1501;150107;Gemuruh Malgan Sakti;Buatan 
213;15;JAMBI;1501;150108;Family Garden;Buatan 
214;15;JAMBI;1501;150109;Panorama Puncak ;Buatan 
215;15;JAMBI;1501;150102;Jembatan Pelangi;Buatan 
216;15;JAMBI;1501;150102;Pesanggrahan Agung Danau Kerinci;Buatan 
217;15;JAMBI;1501;150108;Mesjid Keramat ;Sejarah/Budaya
218;15;JAMBI;1501;150108;Kuburan Nenek Teragea;Sejarah/Budaya
219;15;JAMBI;1501;150108;Kolam Patimah;Sejarah/Budaya
220;15;JAMBI;1501;150102;Monumen Gempa ;Sejarah/Budaya
221;15;JAMBI;1501;150120;Benteng Depati Parbo ;Sejarah/Budaya
222;15;JAMBI;1501;150102;Museum Kerinci;Sejarah/Budaya
223;15;JAMBI;1501;150120;Situs Guci ;Sejarah/Budaya
224;15;JAMBI;1501;150120;Batu Patah;Sejarah/Budaya
225;15;JAMBI;1501;150120;Situs Masjid Nurul Iman;Sejarah/Budaya
226;15;JAMBI;1501;150102;Masjid Kuno Desa Tanjung Pauh Hilir;Sejarah/Budaya
227;15;JAMBI;1501;150102;Masjid Nurul Jalal;Sejarah/Budaya
228;15;JAMBI;1501;150101;Batu Bersurat;Sejarah/Budaya
229;15;JAMBI;1501;150108;Situs Megalitik Benik ;Sejarah/Budaya
230;15;JAMBI;1501;150108;Jembatan Merah;Sejarah/Budaya
231;15;JAMBI;1501;150116;Situs Tembikar;Sejarah/Budaya
232;15;JAMBI;1501;150108;Air Terjun Pencuran Rayo;Alam
233;15;JAMBI;1501;150102;Taman Pertiwi Desa Pentagen;Buatan
234;15;JAMBI;1503;150304;Cagar Biosfir Bukit Dua Belas;Alam
235;15;JAMBI;1503;150304;Taman Nasional Bukit 12 (TNBD);Alam
236;15;JAMBI;1503;150301;Sungai Batang Asai;Alam
237;15;JAMBI;1503;150303;Danau Biaro;Alam
238;15;JAMBI;1503;150301;Air Terjun Simpang Narso;Alam
239;15;JAMBI;1503;150301;Panorama Alam Bukit Rayo;Alam
240;15;JAMBI;1503;150301;Bukit Paradun Sulah;Alam
241;15;JAMBI;1503;150303;Panorama diantara dua jembatan;Alam
242;15;JAMBI;1503;150303;Panorama Jembatan Beatrix;Alam
243;15;JAMBI;1503;150303;Danau Ladang Panjang;Alam
244;15;JAMBI;1503;150301;Danau Kaco;Alam
245;15;JAMBI;1503;150302;Bukit Tempurung;Alam
246;15;JAMBI;1503;150302;Dam Muaro Kutur;Alam
247;15;JAMBI;1503;150302;Karst Bukit Bulan;Alam
248;15;JAMBI;1503;150301;Batu Empang;Alam
249;15;JAMBI;1503;150301;Arung Jeram Muara Talang;Alam
250;15;JAMBI;1503;150303;Taman Perkantoran Gunung Kembang;Buatan
251;15;JAMBI;1503;150303;Taman Tepian Cik Minah;Buatan
252;15;JAMBI;1503;150303;Taman Laman Basamo;Buatan
253;15;JAMBI;1503;150301;Bukit Tempurung Garden;Buatan
254;15;JAMBI;1503;150309;Water Boom Khalisah;Buatan
255;15;JAMBI;1503;150305;Aqua Splash Water Boom;Buatan
256;15;JAMBI;1503;150305;Celosia Sarolangun Indah;Buatan
