NO;kode_provinsi;kode_kabupaten_kota;kategori;uraian;jumlah;satuan;tahun
344;15;1507;TERNAK UNGGAS;AYAM BURAS;1.215.559;EKOR;2022
345;15;1507;TERNAK UNGGAS;AYAM RAS PETELUR;3.068;EKOR;2022
346;15;1507;TERNAK UNGGAS;AYAM BROILER;792.684;EKOR;2022
347;15;1507;TERNAK UNGGAS;ITIK;84.628;EKOR;2022
348;15;1507;TERNAK UNGGAS;ITIK MANILA;0;EKOR;2022
349;15;1508;TERNAK BESAR;SAPI POTONG;21.535;EKOR;2022
350;15;1508;TERNAK BESAR;SAPI PERAH;0;EKOR;2022
351;15;1508;TERNAK BESAR;KERBAU;1.066;EKOR;2022
352;15;1508;TERNAK BESAR;KUDA;0;EKOR;2022
353;15;1508;TERNAK KECIL;KAMBING;48.154;EKOR;2022
354;15;1508;TERNAK KECIL;DOMBA;13.503;EKOR;2022
355;15;1508;TERNAK KECIL;BABI;0;EKOR;2022
356;15;1508;TERNAK UNGGAS;AYAM BURAS;802.533;EKOR;2022
357;15;1508;TERNAK UNGGAS;AYAM RAS PETELUR;14.596;EKOR;2022
358;15;1508;TERNAK UNGGAS;AYAM BROILER;2.264.809;EKOR;2022
359;15;1508;TERNAK UNGGAS;ITIK;64.471;EKOR;2022
360;15;1508;TERNAK UNGGAS;ITIK MANILA;0;EKOR;2022
361;15;1509;TERNAK BESAR;SAPI POTONG;41.446;EKOR;2022
362;15;1509;TERNAK BESAR;SAPI PERAH;0;EKOR;2022
363;15;1509;TERNAK BESAR;KERBAU;5.049;EKOR;2022
364;15;1509;TERNAK BESAR;KUDA;4;EKOR;2022
365;15;1509;TERNAK KECIL;KAMBING;44.641;EKOR;2022
366;15;1509;TERNAK KECIL;DOMBA;9.614;EKOR;2022
367;15;1509;TERNAK KECIL;BABI;6;EKOR;2022
368;15;1509;TERNAK UNGGAS;AYAM BURAS;481.415;EKOR;2022
369;15;1509;TERNAK UNGGAS;AYAM RAS PETELUR;33.166;EKOR;2022
370;15;1509;TERNAK UNGGAS;AYAM BROILER;7.247.391;EKOR;2022
371;15;1509;TERNAK UNGGAS;ITIK;70.217;EKOR;2022
372;15;1509;TERNAK UNGGAS;ITIK MANILA;0;EKOR;2022
373;15;1571;TERNAK BESAR;SAPI POTONG;1.533;EKOR;2022
