id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;kondisi_korban;satuan;jumlah_kejadian
109;;JAMBI;;;05/01/2022;KIOS;UNIT;0
110;;JAMBI;;;05/01/2022;BANGUNAN LAIN;UNIT;0
111;;JAMBI;;;05/01/2022;KEPALA KELUARGA;JIWA;0
112;;JAMBI;;;05/01/2022;JIWA;JIWA;0
113;;JAMBI;;;05/01/2022;SEKOLAH;UNIT;0
114;;JAMBI;;;05/01/2022;KANTOR;UNIT;0
115;;JAMBI;;;05/01/2022;TEMPAT IBADAH;JIWA;0
116;;JAMBI;;;05/01/2022;SARANA KESEHATAN;UNIT;0
117;;JAMBI;;;05/01/2022;PASAR;UNIT;0
118;;JAMBI;;;05/01/2022;JEMBATAN;UNIT;0
119;;JAMBI;;;05/01/2022;JALAN;TITIK;1
120;;JAMBI;;;05/01/2022;JALAN;KM;1,5
121;;JAMBI;;;05/01/2022;IRIGASI;HA;0
122;;JAMBI;;;05/01/2022;KEBUN;HEKTAR;0
123;;JAMBI;;;05/01/2022;KOLAM;HA;0
124;;JAMBI;;;05/01/2022;SAWAH;HA;0
125;;JAMBI;;;05/01/2022;LAHAN TIDUR;HEKTAR;0
126;;JAMBI;;;05/01/2022;MENINGGAL DUNIA;JIWA;0
127;;JAMBI;;;05/01/2022;LUKA BERAT;JIWA;0
128;;JAMBI;;;05/01/2022;LUKA RINGAN;JIWA;0
129;;JAMBI;;;05/01/2022;RUSAK TOTAL;UNIT;0
130;;JAMBI;;;05/01/2022;RUMAH RUSAK BERAT;UNIT;0
131;;JAMBI;;;05/01/2022;RUMAH RUSAK RINGAN;UNIT;0
132;;JAMBI;;;05/01/2022;TERGENANG;UNIT;0
133;;JAMBI;;;05/01/2022;TERENDAM;UNIT;0
134;;JAMBI;;;05/01/2022;KIOS;UNIT;0
135;;JAMBI;;;05/01/2022;BANGUNAN LAIN;UNIT;0
136;;JAMBI;;;05/01/2022;KEPALA KELUARGA;JIWA;0
137;;JAMBI;;;05/01/2022;JIWA;JIWA;0
138;;JAMBI;;;05/01/2022;SEKOLAH;UNIT;0
139;;JAMBI;;;05/01/2022;KANTOR;UNIT;0
140;;JAMBI;;;05/01/2022;TEMPAT IBADAH;JIWA;0
141;;JAMBI;;;05/01/2022;SARANA KESEHATAN;UNIT;0
142;;JAMBI;;;05/01/2022;PASAR;UNIT;0
143;;JAMBI;;;05/01/2022;JEMBATAN;UNIT;0
144;;JAMBI;;;05/01/2022;JALAN;TITIK;0
