id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_puskesmas;nama_puskesmas;alamat;kemampuan_pelayanan;karakteristik_wilayah_kerja
60;15;JAMBI;1503;150304;1012659;SEPINTUN;JLN. SIMPANG PITCO- SEPINTUN, KM.40 KODE POS 37391;NON RAWAT INAP;PERDESAAN
61;15;JAMBI;1503;150307;1011433;PEMATANG KABAU;DS. PEMATANG KABAU KEC. AIR HITAM;RAWAT INAP;PERDESAAN
62;15;JAMBI;1503;150307;1011434;AIR HITAM;DS. AIR HITAM, KEC. AIR HITAM;RAWAT INAP;PERDESAAN
63;15;JAMBI;1503;150306;1011435;MANDIANGIN;JL. SAROLANGUN-TEMBESI KM.50, KEC. MANDANGIN;RAWAT INAP;PERDESAAN
64;15;JAMBI;1503;150306;1011436;BUTANG BARU;DS. BUTANG BARU,  KEC. MADIANGIN;RAWAT INAP;PERDESAAN
65;15;JAMBI;1504;150401;1011437;MERSAM;KEL. KEMBANG PASEBAN, KEC. MERSAM;RAWAT INAP;TERPENCIL
66;15;JAMBI;1504;150401;1011438;SUNGAI PUAR;DS. SUNGAI PUAR, KEC. MERSAM;NON RAWAT INAP;TERPENCIL
67;15;JAMBI;1504;150406;1011439;SUNGAI RENGAS;DS. SIMPANG SUNGAI RENGAS,KEC. MARO SEBO ULU;RAWAT INAP;TERPENCIL
68;15;JAMBI;1504;150404;1011440;DURIAN LUNCUK;DS. DURIAN LUNCUK, KEC. BATHIN XXIV;RAWAT INAP;TERPENCIL
69;15;JAMBI;1504;150404;1011441;JANGGA BARU;DS. JANGGA BARU, KEC. BATHIN XXIV;RAWAT INAP;TERPENCIL
70;15;JAMBI;1504;150402;1011442;MUARA TEMBESI;KM. 5 , KEC. MUARA TEMBESI;RAWAT INAP;TERPENCIL
71;15;JAMBI;1504;150402;1011443;PASAR MUARA TEMBESI;KEL. PASAR MUARA TEMBESI, KEC. MUARA TEMBESI;NON RAWAT INAP;PERDESAAN
72;15;JAMBI;1504;150403;1011444;MUARA BULIAN;DS. MUARA BULIAN, KEC. MUARA BULIAN;NON RAWAT INAP;PERKOTAAN
73;15;JAMBI;1504;150403;1011445;PASAR TERUSAN;DS. PASAR TERUSAN, KEC. MUARA BULIAN;NON RAWAT INAP;PERDESAAN
74;15;JAMBI;1504;150403;1011446;ARO;DS. ARO, KEC. MUARA BULIAN;NON RAWAT INAP;TERPENCIL
75;15;JAMBI;1504;150407;1011447;PENEROKAN;DS. PENEROKAN, KEC. BAJUBANG;RAWAT INAP;TERPENCIL
76;15;JAMBI;1504;150407;1011448;BATIN;DS. BATIN, KEC. BAJUBANG;NON RAWAT INAP;PERDESAAN
77;15;JAMBI;1504;150408;1011449;MARO SEBO ILIR;KEC. MARO SEBO ILIR;RAWAT INAP;TERPENCIL
78;15;JAMBI;1504;150408;1011450;TIDAR KURANJI;DS. TIDAR KURANJI, KEC. MARO SEBO ILIR;NON RAWAT INAP;TERPENCIL
79;15;JAMBI;1504;150408;1011451;TENAM;DS. TERUSAN, KEC. MARO SEBO ILIR;NON RAWAT INAP;PERDESAAN
80;15;JAMBI;1504;150405;1011452;JEMBATAN MAS;DS. JEMBATAN MAS, KEC. PEMAYUNG;RAWAT INAP;TERPENCIL
81;15;JAMBI;1504;150405;1011453;SELAT;DS. SELAT, KEC. PEMAYUNG;NON RAWAT INAP;TERPENCIL
82;15;JAMBI;1504;150406;1012658;TELUK LEBAN;JL.  DESA TEUK LEBAN RT. 12 KECMATAN MARO SEBO;NON RAWAT INAP;TERPENCIL
83;15;JAMBI;1505;150505;1011454;TEMPINO;JL. LINTAS JAMBI - PALEMBANG KEL. TEMPINO KEC. MESTONG;RAWAT INAP;PERDESAAN
84;15;JAMBI;1505;150505;1011455;PONDOK MEJA;JL. LINTAS JAMBI - PALEMBANG DESA PONDOK MEJA KEC. MESTONG;NON RAWAT INAP;PERDESAAN
85;15;JAMBI;1505;150510;1011456;SUNGAI BAHAR VII;DS. BUKIT SUBUR, SUNGAI BAHAR VII KEC. BAHAR SELATAN;RAWAT INAP;TERPENCIL
86;15;JAMBI;1505;150507;1011457;SUNGAI BAHAR I;JL. LINTAS ASIATIC PERSADA DESA BAKTI MULYA KECAMATAN SUNGAI BAHAR;NON RAWAT INAP;TERPENCIL
87;15;JAMBI;1505;150507;1011458;SUNGAI BAHAR IV;JL. H. AHMAD RIFIN NO.01 DESA MARGA KEC. SUNGAI BAHAR;NON RAWAT INAP;PERDESAAN
88;15;JAMBI;1505;150509;1011459;MARKANDING;DS. MARKANDING, KEC. BAHAR UTARA;NON RAWAT INAP;PERDESAAN
89;15;JAMBI;1505;150506;1011460;MUARA KUMPEH;JL. JAMBI - SUAK KANDIS DS. MUARO KUMPEH, KEC. KUMPEH ULU;RAWAT INAP;PERDESAAN
90;15;JAMBI;1505;150506;1012633;KASANG PUDAK;DESA KASANG PUDAK KEC. KUMPEH ULU;NON RAWAT INAP;PERDESAAN
91;15;JAMBI;1505;150508;1011461;TANGKIT;JL. RD. SUHUR DS. TANGKIT, KEC. SUNGAI GELAM;RAWAT INAP;PERDESAAN
92;15;JAMBI;1505;150508;1011462;KEBON IX;JL. PETALING KM 1 DESA KEBON IX KEC. SUNGAI GELAM;NON RAWAT INAP;PERDESAAN
93;15;JAMBI;1505;150509;1012631;TALANG BUKIT;DESA TALANG BUKIT KEC BAHAR UTARA;NON RAWAT INAP;PERDESAAN
94;15;JAMBI;1505;150503;1011463;TANJUNG;JL. JAMBI - SUAK KANDIS KM 70 DESA TANJUNG KEC. KUMPEH;RAWAT INAP;TERPENCIL
95;15;JAMBI;1505;150503;1011464;PUDING;JL LINTAS JAMBI - SUAK KANDIS KM 40 DESA PUDING KEC. KUMPEH;RAWAT INAP;PERDESAAN
96;15;JAMBI;1505;150504;1011465;JAMBI KECIL;JL. LINTAS PARIWISATA CANDI MUARO JAMBI RT.03 KEL. JAMBI KECIL, KEC. MARO SEBO;RAWAT INAP;PERDESAAN
97;15;JAMBI;1505;150511;1011466;KEMINGKING DALAM;JL. RAYA KEMINGKING DALAM DESA KEMINGKING DALAM KEC. TAMAN RAJO;NON RAWAT INAP;PERDESAAN
98;15;JAMBI;1505;150501;1011467;SIMPANG SUNGAI DUREN;JL. JAMBI - MUARA BULIAN KM. 17 DS. SIMPANG SUNGAI DUREN KEC. JAMBI LUAR KOTA;RAWAT INAP;PERKOTAAN
99;15;JAMBI;1505;150501;1011468;PENYENGAT OLAK;JL. LINTAS TIMUR DESA PENYENGAT OLAK KEC. JAMBI LUAR KOTA;NON RAWAT INAP;PERDESAAN
100;15;JAMBI;1505;150501;1011469;PIR II BAJUBANG;SIMPANG NESS 2 DESA MUHAJIRIN KEC. JAMBI LUAR KOTA;NON RAWAT INAP;PERDESAAN
101;15;JAMBI;1505;150502;1011470;SENGETI;JL. LINTAS TIMUR KELURAHAN SENGETI KEC. SEKERNAN;NON RAWAT INAP;PERKOTAAN
102;15;JAMBI;1505;150502;1011471;SEKERNAN ILIR;JL. LINTAS TIMUR DESA SEKERNAN KEC. SEKERNAN;NON RAWAT INAP;PERDESAAN
103;15;JAMBI;1505;150502;1012632;TANTAN;DESA TANTAN KEC. SEKERNAN;NON RAWAT INAP;PERDESAAN
104;15;JAMBI;1507;150502;1012634;SUKO AWIN JAYA;DESA SUKO AWIN JAYA KM 69 KEC. SEKERNAN;NON RAWAT INAP;PERDESAAN
105;15;JAMBI;1507;150703;1011472;MENDAHARA;JL. TARUMA MENDAHARA ILIR, KEC. MENDAHARA;RAWAT INAP;TERPENCIL
106;15;JAMBI;1507;150703;1011473;PANGKAL DURI;JL. H. AMBO PAIRU NO. 39, KEC. MENDAHARA;NON RAWAT INAP;SANGAT TERPENCIL
107;15;JAMBI;1507;150709;1011474;SP TUAN;DS. SIMPANG TUAN, KEC. MENDAHAR  ULU;RAWAT INAP;PERDESAAN
108;15;JAMBI;1507;150710;1011475;SIMP.PANDAN;JL. SILIWANGI NO.02 PANDAN JAYA, KEC. GERAGAI;RAWAT INAP;PERDESAAN
109;15;JAMBI;1507;150706;1011476;DENDANG;JL. MERIAM PATAH, KEC. DENDANG;NON RAWAT INAP;PERDESAAN
110;15;JAMBI;1507;150707;1011477;MUARA SABAK BARAT;JL. LINTAS TALANG BABAT RT.03, KEC. MUARA SABAK BARAT;NON RAWAT INAP;PERKOTAAN
111;15;JAMBI;1507;150701;1011480;MUARA SABAK TIMUR;JL. KAPT.MARZUKI RT.01 KEL. MUARA SABAK ILIR, KEC. MUARA SABAK TIMUR;RAWAT INAP;PERDESAAN
