NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;satuan;semester;jumlah_penduduk;tahun
140;15;JAMBI;1502;150210;PEREKAMAN KTP;REKAM KTP;JIWA;2;8134;2022
141;15;JAMBI;1502;150211;PEREKAMAN KTP;WAJIB KTP;JIWA;1;12753;2022
142;15;JAMBI;1502;150211;PEREKAMAN KTP;REKAM KTP;JIWA;1;12577;2022
143;15;JAMBI;1502;150211;PEREKAMAN KTP;BELUM REKAM;JIWA;1;176;2022
144;15;JAMBI;1502;150211;PEREKAMAN KTP;WAJIB KTP;JIWA;2;13251;2022
145;15;JAMBI;1502;150211;PEREKAMAN KTP;REKAM KTP;JIWA;2;12925;2022
146;15;JAMBI;1502;150212;PEREKAMAN KTP;WAJIB KTP;JIWA;1;8298;2022
147;15;JAMBI;1502;150212;PEREKAMAN KTP;REKAM KTP;JIWA;1;8196;2022
148;15;JAMBI;1502;150212;PEREKAMAN KTP;BELUM REKAM;JIWA;1;102;2022
149;15;JAMBI;1502;150212;PEREKAMAN KTP;WAJIB KTP;JIWA;2;8593;2022
150;15;JAMBI;1502;150212;PEREKAMAN KTP;REKAM KTP;JIWA;2;8388;2022
