id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_kecamatan,nama_kecamatan,kategori,data,satuan,semester,jumlah_penduduk,tahun
1270,15,JAMBI,1506,TANJUNG JABUNG BARAT,150602,TUNGKAL ILIR,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,7916,2022
1271,15,JAMBI,1506,TANJUNG JABUNG BARAT,150601,TUNGKAL ULU,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1281,2022
1272,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150711,BERBAK,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,885,2022
1273,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150706,DENDANG,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1730,2022
1274,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150710,GERAGAI,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1871,2022
1275,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150708,KUALA JAMBI,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,860,2022
1276,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150703,MENDAHARA,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,2850,2022
1277,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150709,MENDAHARA ULU,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,533,2022
1278,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150707,MUARA SABAK BARAT,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1557,2022
1279,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150701,MUARA SABAK TIMUR,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,2585,2022
1280,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150702,NIPAH PANJANG,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1218,2022
1281,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150704,RANTAU RASAU,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,506,2022
1282,15,JAMBI,1507,TANJUNG JABUNG TIMUR,150705,S A D U,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1032,2022
1283,15,JAMBI,1509,TEBO,150912,MUARA TABIR,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1189,2022
1284,15,JAMBI,1509,TEBO,150904,RIMBO BUJANG,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,6406,2022
1285,15,JAMBI,1509,TEBO,150908,RIMBO ILIR,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,2756,2022
1286,15,JAMBI,1509,TEBO,150907,RIMBO ULU,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,3464,2022
1287,15,JAMBI,1509,TEBO,150910,SERAI SERUMPUN,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,956,2022
1288,15,JAMBI,1509,TEBO,150905,SUMAY,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1417,2022
1289,15,JAMBI,1509,TEBO,150902,TEBO ILIR,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,2122,2022
1290,15,JAMBI,1509,TEBO,150901,TEBO TENGAH,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,4080,2022
1291,15,JAMBI,1509,TEBO,150903,TEBO ULU,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,2345,2022
1292,15,JAMBI,1509,TEBO,150909,TENGAH ILIR,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,2530,2022
1293,15,JAMBI,1509,TEBO,150906,VII KOTO,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1791,2022
1294,15,JAMBI,1509,TEBO,150911,VII KOTO ILIR,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1939,2022
1295,15,JAMBI,1504,BATANGHARI,150407,BAJUBANG,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,7633,2022
1296,15,JAMBI,1504,BATANGHARI,150404,BATIN XXIV,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,6480,2022
1297,15,JAMBI,1504,BATANGHARI,150408,MARO SEBO ILIR,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,2970,2022
1298,15,JAMBI,1504,BATANGHARI,150406,MARO SEBO ULU,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,7019,2022
1299,15,JAMBI,1504,BATANGHARI,150401,MERSAM,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,6642,2022
1300,15,JAMBI,1504,BATANGHARI,150403,MUARA BULIAN,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,10176,2022
1301,15,JAMBI,1504,BATANGHARI,150402,MUARA TEMBESI,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,7091,2022
1302,15,JAMBI,1504,BATANGHARI,150405,PEMAYUNG,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,7751,2022
1303,15,JAMBI,1508,BUNGO,150815,BATHIN II PELAYANG,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,1899,2022
1304,15,JAMBI,1508,BUNGO,150811,BATHIN III,KARTU IDENTITAS ANAK,BELUM MEMILIKI,JIWA,1,6125,2022
