NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;indikator;sub_indikator;nama_indikator;terget;capaian;periode
;15;JAMBI;1505;MUARO JAMBI;SPESIFIK;SPESIFIK3;REMAJA PUTRI KONSUMSI TTD;58;17,6;TRIWULAN II (2024)
;15;JAMBI;1506;TANJUNG JABUNG BARAT;SPESIFIK;SPESIFIK3;REMAJA PUTRI KONSUMSI TTD;58;35,3;TRIWULAN II (2024)
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;SPESIFIK;SPESIFIK3;REMAJA PUTRI KONSUMSI TTD;58;35,7;TRIWULAN II (2024)
;15;JAMBI;1508;BUNGO;SPESIFIK;SPESIFIK3;REMAJA PUTRI KONSUMSI TTD;58;26,2;TRIWULAN II (2024)
;15;JAMBI;1509;TEBO;SPESIFIK;SPESIFIK3;REMAJA PUTRI KONSUMSI TTD;58;63,1;TRIWULAN II (2024)
;15;JAMBI;1571;KOTA JAMBI;SPESIFIK;SPESIFIK3;REMAJA PUTRI KONSUMSI TTD;58;22,4;TRIWULAN II (2024)
;15;JAMBI;1572;KOTA SUNGAI PENUH;SPESIFIK;SPESIFIK3;REMAJA PUTRI KONSUMSI TTD;58;53,2;TRIWULAN II (2024)
;15;JAMBI;1501;KERINCI;SENSITIF;SENSITIF9;PERSENTASE TARGET SASARAN YANG MEMILIKI PEMAHAMAN YANG BAIK TENTANG STUNTING DI LOKASI PRIORITAS;70;82,9;SEMESTER I (2024)
;15;JAMBI;1502;MERANGIN;SENSITIF;SENSITIF9;PERSENTASE TARGET SASARAN YANG MEMILIKI PEMAHAMAN YANG BAIK TENTANG STUNTING DI LOKASI PRIORITAS;70;82,9;SEMESTER I (2024)
;15;JAMBI;1503;SAROLANGUN;SENSITIF;SENSITIF9;PERSENTASE TARGET SASARAN YANG MEMILIKI PEMAHAMAN YANG BAIK TENTANG STUNTING DI LOKASI PRIORITAS;70;82,9;SEMESTER I (2024)
;15;JAMBI;1504;BATANGHARI;SENSITIF;SENSITIF9;PERSENTASE TARGET SASARAN YANG MEMILIKI PEMAHAMAN YANG BAIK TENTANG STUNTING DI LOKASI PRIORITAS;70;82,9;SEMESTER I (2024)
;15;JAMBI;1505;MUARO JAMBI;SENSITIF;SENSITIF9;PERSENTASE TARGET SASARAN YANG MEMILIKI PEMAHAMAN YANG BAIK TENTANG STUNTING DI LOKASI PRIORITAS;70;82,9;SEMESTER I (2024)
;15;JAMBI;1506;TANJUNG JABUNG BARAT;SENSITIF;SENSITIF9;PERSENTASE TARGET SASARAN YANG MEMILIKI PEMAHAMAN YANG BAIK TENTANG STUNTING DI LOKASI PRIORITAS;70;82,9;SEMESTER I (2024)
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;SENSITIF;SENSITIF9;PERSENTASE TARGET SASARAN YANG MEMILIKI PEMAHAMAN YANG BAIK TENTANG STUNTING DI LOKASI PRIORITAS;70;82,9;SEMESTER I (2024)
;15;JAMBI;1508;BUNGO;SENSITIF;SENSITIF9;PERSENTASE TARGET SASARAN YANG MEMILIKI PEMAHAMAN YANG BAIK TENTANG STUNTING DI LOKASI PRIORITAS;70;82,9;SEMESTER I (2024)
;15;JAMBI;1509;TEBO;SENSITIF;SENSITIF9;PERSENTASE TARGET SASARAN YANG MEMILIKI PEMAHAMAN YANG BAIK TENTANG STUNTING DI LOKASI PRIORITAS;70;82,9;SEMESTER I (2024)
;15;JAMBI;1571;KOTA JAMBI;SENSITIF;SENSITIF9;PERSENTASE TARGET SASARAN YANG MEMILIKI PEMAHAMAN YANG BAIK TENTANG STUNTING DI LOKASI PRIORITAS;70;82,9;SEMESTER I (2024)
;15;JAMBI;1572;KOTA SUNGAI PENUH;SENSITIF;SENSITIF9;PERSENTASE TARGET SASARAN YANG MEMILIKI PEMAHAMAN YANG BAIK TENTANG STUNTING DI LOKASI PRIORITAS;70;82,9;SEMESTER I (2024)
;15;JAMBI;1501;KERINCI;PILAR 2;PILAR 2A3;PERSENTASE KELUARGA YANG MELAKSANAKAN PERILAKU HIDUP BERSIH DAN SEHAT (PHBS);70;94;SEMESTER I (2024)
;15;JAMBI;1502;MERANGIN;PILAR 2;PILAR 2A3;PERSENTASE KELUARGA YANG MELAKSANAKAN PERILAKU HIDUP BERSIH DAN SEHAT (PHBS);70;53,1;SEMESTER I (2024)
;15;JAMBI;1503;SAROLANGUN;PILAR 2;PILAR 2A3;PERSENTASE KELUARGA YANG MELAKSANAKAN PERILAKU HIDUP BERSIH DAN SEHAT (PHBS);70;88;SEMESTER I (2024)
;15;JAMBI;1504;BATANGHARI;PILAR 2;PILAR 2A3;PERSENTASE KELUARGA YANG MELAKSANAKAN PERILAKU HIDUP BERSIH DAN SEHAT (PHBS);70;90;SEMESTER I (2024)
;15;JAMBI;1505;MUARO JAMBI;PILAR 2;PILAR 2A3;PERSENTASE KELUARGA YANG MELAKSANAKAN PERILAKU HIDUP BERSIH DAN SEHAT (PHBS);70;84,84;SEMESTER I (2024)
;15;JAMBI;1506;TANJUNG JABUNG BARAT;PILAR 2;PILAR 2A3;PERSENTASE KELUARGA YANG MELAKSANAKAN PERILAKU HIDUP BERSIH DAN SEHAT (PHBS);70;35;SEMESTER I (2024)
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;PILAR 2;PILAR 2A3;PERSENTASE KELUARGA YANG MELAKSANAKAN PERILAKU HIDUP BERSIH DAN SEHAT (PHBS);70;41;SEMESTER I (2024)
;15;JAMBI;1508;BUNGO;PILAR 2;PILAR 2A3;PERSENTASE KELUARGA YANG MELAKSANAKAN PERILAKU HIDUP BERSIH DAN SEHAT (PHBS);70;65,3;SEMESTER I (2024)
;15;JAMBI;1509;TEBO;PILAR 2;PILAR 2A3;PERSENTASE KELUARGA YANG MELAKSANAKAN PERILAKU HIDUP BERSIH DAN SEHAT (PHBS);70;85;SEMESTER I (2024)
;15;JAMBI;1571;KOTA JAMBI;PILAR 2;PILAR 2A3;PERSENTASE KELUARGA YANG MELAKSANAKAN PERILAKU HIDUP BERSIH DAN SEHAT (PHBS);70;54,1;SEMESTER I (2024)
;15;JAMBI;1572;KOTA SUNGAI PENUH;PILAR 2;PILAR 2A3;PERSENTASE KELUARGA YANG MELAKSANAKAN PERILAKU HIDUP BERSIH DAN SEHAT (PHBS);70;100;SEMESTER I (2024)
;15;JAMBI;1501;KERINCI;PILAR 2;PILAR 2B3;PERSENTASE LEMBAGA PENDIDIKAN ANAK USIA DINI (PAUD) YANG MENGEMBANGKAN PENDIDIKAN ANAK USIA DINI HOLISTIK INTEGRATIF (PAUD-HI);70;100;SEMESTER I (2024)
;15;JAMBI;1502;MERANGIN;PILAR 2;PILAR 2B3;PERSENTASE LEMBAGA PENDIDIKAN ANAK USIA DINI (PAUD) YANG MENGEMBANGKAN PENDIDIKAN ANAK USIA DINI HOLISTIK INTEGRATIF (PAUD-HI);70;100;SEMESTER I (2024)
;15;JAMBI;1503;SAROLANGUN;PILAR 2;PILAR 2B3;PERSENTASE LEMBAGA PENDIDIKAN ANAK USIA DINI (PAUD) YANG MENGEMBANGKAN PENDIDIKAN ANAK USIA DINI HOLISTIK INTEGRATIF (PAUD-HI);70;19,76;SEMESTER I (2024)
;15;JAMBI;1504;BATANGHARI;PILAR 2;PILAR 2B3;PERSENTASE LEMBAGA PENDIDIKAN ANAK USIA DINI (PAUD) YANG MENGEMBANGKAN PENDIDIKAN ANAK USIA DINI HOLISTIK INTEGRATIF (PAUD-HI);70;27,47;SEMESTER I (2024)
;15;JAMBI;1505;MUARO JAMBI;PILAR 2;PILAR 2B3;PERSENTASE LEMBAGA PENDIDIKAN ANAK USIA DINI (PAUD) YANG MENGEMBANGKAN PENDIDIKAN ANAK USIA DINI HOLISTIK INTEGRATIF (PAUD-HI);70;2,55;SEMESTER I (2024)
;15;JAMBI;1506;TANJUNG JABUNG BARAT;PILAR 2;PILAR 2B3;PERSENTASE LEMBAGA PENDIDIKAN ANAK USIA DINI (PAUD) YANG MENGEMBANGKAN PENDIDIKAN ANAK USIA DINI HOLISTIK INTEGRATIF (PAUD-HI);70;75,96;SEMESTER I (2024)
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;PILAR 2;PILAR 2B3;PERSENTASE LEMBAGA PENDIDIKAN ANAK USIA DINI (PAUD) YANG MENGEMBANGKAN PENDIDIKAN ANAK USIA DINI HOLISTIK INTEGRATIF (PAUD-HI);70;89,9;SEMESTER I (2024)
;15;JAMBI;1508;BUNGO;PILAR 2;PILAR 2B3;PERSENTASE LEMBAGA PENDIDIKAN ANAK USIA DINI (PAUD) YANG MENGEMBANGKAN PENDIDIKAN ANAK USIA DINI HOLISTIK INTEGRATIF (PAUD-HI);70;100;SEMESTER I (2024)
;15;JAMBI;1509;TEBO;PILAR 2;PILAR 2B3;PERSENTASE LEMBAGA PENDIDIKAN ANAK USIA DINI (PAUD) YANG MENGEMBANGKAN PENDIDIKAN ANAK USIA DINI HOLISTIK INTEGRATIF (PAUD-HI);70;100;SEMESTER I (2024)
;15;JAMBI;1571;KOTA JAMBI;PILAR 2;PILAR 2B3;PERSENTASE LEMBAGA PENDIDIKAN ANAK USIA DINI (PAUD) YANG MENGEMBANGKAN PENDIDIKAN ANAK USIA DINI HOLISTIK INTEGRATIF (PAUD-HI);70;100;SEMESTER I (2024)
