kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;kode_kecamatan;nama_kecamatan;data_pokok;tahun_ajaran;status;bidang_pendidikan;jumlah
15;JAMBI;1503;SAROLANGUN;150308;BATHIN VIII;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SD;21
15;JAMBI;1503;SAROLANGUN;150308;BATHIN VIII;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMP;4
15;JAMBI;1503;SAROLANGUN;150308;BATHIN VIII;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMA;1
15;JAMBI;1503;SAROLANGUN;150308;BATHIN VIII;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMK;0
15;JAMBI;1503;SAROLANGUN;150308;BATHIN VIII;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SLB;0
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TK;0
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;KB;1
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TPA;0
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SPS;0
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;PKBM;0
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SKB;0
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SD;7
15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMP;2
