id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_kecamatan,nama_kecamatan,kategori,data,satuan,semester,jumlah,tahun
771,15,JAMBI,1571,KOTA JAMBI,157105,PELAYANGAN,AKTA LAHIR,MEMILIKI,JIWA,1,3937,2022
772,15,JAMBI,1571,KOTA JAMBI,157101,TELANAIPURA,AKTA LAHIR,MEMILIKI,JIWA,1,14257,2022
773,15,JAMBI,1572,KOTA SUNGAI PENUH,157203,HAMPARAN RAWANG,AKTA LAHIR,MEMILIKI,JIWA,1,3772,2022
774,15,JAMBI,1572,KOTA SUNGAI PENUH,157207,KOTO BARU,AKTA LAHIR,MEMILIKI,JIWA,1,2448,2022
775,15,JAMBI,1572,KOTA SUNGAI PENUH,157205,KUMUN DEBAI,AKTA LAHIR,MEMILIKI,JIWA,1,2445,2022
776,15,JAMBI,1572,KOTA SUNGAI PENUH,157202,PESISIR BUKIT,AKTA LAHIR,MEMILIKI,JIWA,1,3274,2022
777,15,JAMBI,1572,KOTA SUNGAI PENUH,157206,PONDOK TINGGI,AKTA LAHIR,MEMILIKI,JIWA,1,5014,2022
778,15,JAMBI,1572,KOTA SUNGAI PENUH,157208,SUNGAI BUNGKAL,AKTA LAHIR,MEMILIKI,JIWA,1,2956,2022
779,15,JAMBI,1572,KOTA SUNGAI PENUH,157201,SUNGAI PENUH,AKTA LAHIR,MEMILIKI,JIWA,1,2786,2022
780,15,JAMBI,1572,KOTA SUNGAI PENUH,157204,TANAH KAMPUNG,AKTA LAHIR,MEMILIKI,JIWA,1,2390,2022
781,15,JAMBI,1502,MERANGIN,150202,BANGKO,AKTA LAHIR,MEMILIKI,JIWA,1,15160,2022
782,15,JAMBI,1502,MERANGIN,150210,BANGKO BARAT,AKTA LAHIR,MEMILIKI,JIWA,1,3163,2022
783,15,JAMBI,1502,MERANGIN,150212,BATANG MASUMAI,AKTA LAHIR,MEMILIKI,JIWA,1,3475,2022
784,15,JAMBI,1502,MERANGIN,150201,JANGKAT,AKTA LAHIR,MEMILIKI,JIWA,1,3287,2022
785,15,JAMBI,1502,MERANGIN,150218,JANGKAT TIMUR,AKTA LAHIR,MEMILIKI,JIWA,1,3261,2022
786,15,JAMBI,1502,MERANGIN,150209,LEMBAH MASURAI,AKTA LAHIR,MEMILIKI,JIWA,1,4793,2022
787,15,JAMBI,1502,MERANGIN,150221,MARGO TABIR,AKTA LAHIR,MEMILIKI,JIWA,1,3608,2022
