kode_provinsi ;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;data_pokok;tahun_ajaran;status;jenjang_pendidikan;jumlah
15;JAMBI;1504;150405;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;2
15;JAMBI;1504;150405;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;6
15;JAMBI;1504;150405;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1504;150405;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;150810;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;150810;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;0
15;JAMBI;1508;150810;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1508;150810;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1508;150810;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;150810;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;150815;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;150815;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1508;150815;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1508;150815;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;2
15;JAMBI;1508;150815;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;150815;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;150811;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;150811;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1508;150811;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1508;150811;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1508;150811;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;150811;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;150814;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;150814;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;0
15;JAMBI;1508;150814;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1508;150814;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;1
15;JAMBI;1508;150814;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;150814;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
