id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;keterangan;satuan;jumlah_kejadian; jumlah_kerugian ;tahun
1835;15;JAMBI;1504;150403;26/08/2024;JALAN;KM;0; Rp-   ;2024
1836;15;JAMBI;1504;150403;26/08/2024;SAWAH;HA;20; Rp-   ;2024
1837;15;JAMBI;1504;150403;26/08/2024;KEBUN/HUTAN;HA;0; Rp-   ;2024
1838;15;JAMBI;1504;150403;26/08/2024;KOLAM;HA;0; Rp-   ;2024
1839;15;JAMBI;1504;150403;26/08/2024;IRIGASI;HA;0; Rp-   ;2024
1840;15;JAMBI;1504;150403;26/08/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
1841;15;JAMBI;1504;150403;26/08/2024;HILANG;JIWA;0; Rp-   ;2024
1842;15;JAMBI;1504;150403;26/08/2024;LUKA;JIWA;0; Rp-   ;2024
1843;15;JAMBI;1504;150403;26/08/2024;MENDERITA;JIWA;0; Rp-   ;2024
1844;15;JAMBI;1504;150403;26/08/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
1845;15;JAMBI;1504;150403;26/08/2024;RUMAH RUSAK BERAT;UNIT;0; Rp-   ;2024
1846;15;JAMBI;1504;150403;26/08/2024;RUMAH RUSAK SEDANG;UNIT;0; Rp-   ;2024
1847;15;JAMBI;1504;150403;26/08/2024;RUMAH RUSAK RINGAN;UNIT;0; Rp-   ;2024
1848;15;JAMBI;1504;150403;26/08/2024;RUMAH TERENDAM;UNIT;0; Rp-   ;2024
1849;15;JAMBI;1504;150403;26/08/2024;SARANA PENDIDIKAN;UNIT;0; Rp-   ;2024
1850;15;JAMBI;1504;150403;26/08/2024;SARANA IBADAH;UNIT;0; Rp-   ;2024
1851;15;JAMBI;1504;150403;26/08/2024;SARANA KESEHATAN;UNIT;0; Rp-   ;2024
1852;15;JAMBI;1504;150403;26/08/2024;PERKANTORAN;UNIT;0; Rp-   ;2024
1853;15;JAMBI;1504;150403;26/08/2024;BANGUNAN LAIN;UNIT;0; Rp-   ;2024
1854;15;JAMBI;1504;150403;26/08/2024;JEMBATAN;UNIT;0; Rp-   ;2024
1855;15;JAMBI;1504;150403;26/08/2024;JALAN;KM;0; Rp-   ;2024
1856;15;JAMBI;1504;150403;26/08/2024;SAWAH;HA;0.02; Rp-   ;2024
1857;15;JAMBI;1504;150403;26/08/2024;KEBUN/HUTAN;HA;0; Rp-   ;2024
1858;15;JAMBI;1504;150403;26/08/2024;KOLAM;HA;0; Rp-   ;2024
1859;15;JAMBI;1504;150403;26/08/2024;IRIGASI;HA;0; Rp-   ;2024
1860;15;JAMBI;1504;150403;27/08/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
1861;15;JAMBI;1504;150403;27/08/2024;HILANG;JIWA;0; Rp-   ;2024
1862;15;JAMBI;1504;150403;27/08/2024;LUKA;JIWA;0; Rp-   ;2024
1863;15;JAMBI;1504;150403;27/08/2024;MENDERITA;JIWA;0; Rp-   ;2024
1864;15;JAMBI;1504;150403;27/08/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
1865;15;JAMBI;1504;150403;27/08/2024;RUMAH RUSAK BERAT;UNIT;0; Rp-   ;2024
1866;15;JAMBI;1504;150403;27/08/2024;RUMAH RUSAK SEDANG;UNIT;0; Rp-   ;2024
1867;15;JAMBI;1504;150403;27/08/2024;RUMAH RUSAK RINGAN;UNIT;0; Rp-   ;2024
1868;15;JAMBI;1504;150403;27/08/2024;RUMAH TERENDAM;UNIT;0; Rp-   ;2024
1869;15;JAMBI;1504;150403;27/08/2024;SARANA PENDIDIKAN;UNIT;0; Rp-   ;2024
1870;15;JAMBI;1504;150403;27/08/2024;SARANA IBADAH;UNIT;0; Rp-   ;2024
1871;15;JAMBI;1504;150403;27/08/2024;SARANA KESEHATAN;UNIT;0; Rp-   ;2024
1872;15;JAMBI;1504;150403;27/08/2024;PERKANTORAN;UNIT;0; Rp-   ;2024
1873;15;JAMBI;1504;150403;27/08/2024;BANGUNAN LAIN;UNIT;0; Rp-   ;2024
1874;15;JAMBI;1504;150403;27/08/2024;JEMBATAN;UNIT;0; Rp-   ;2024
1875;15;JAMBI;1504;150403;27/08/2024;JALAN;KM;0; Rp-   ;2024
1876;15;JAMBI;1504;150403;27/08/2024;SAWAH;HA;4; Rp-   ;2024
1877;15;JAMBI;1504;150403;27/08/2024;KEBUN/HUTAN;HA;0; Rp-   ;2024
1878;15;JAMBI;1504;150403;27/08/2024;KOLAM;HA;0; Rp-   ;2024
1879;15;JAMBI;1504;150403;27/08/2024;IRIGASI;HA;0; Rp-   ;2024
1880;15;JAMBI;1504;150403;27/08/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
1881;15;JAMBI;1504;150403;27/08/2024;HILANG;JIWA;0; Rp-   ;2024
1882;15;JAMBI;1504;150403;27/08/2024;LUKA;JIWA;0; Rp-   ;2024
1883;15;JAMBI;1504;150403;27/08/2024;MENDERITA;JIWA;0; Rp-   ;2024
1884;15;JAMBI;1504;150403;27/08/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
1885;15;JAMBI;1504;150403;27/08/2024;RUMAH RUSAK BERAT;UNIT;0; Rp-   ;2024
1886;15;JAMBI;1504;150403;27/08/2024;RUMAH RUSAK SEDANG;UNIT;0; Rp-   ;2024
1887;15;JAMBI;1504;150403;27/08/2024;RUMAH RUSAK RINGAN;UNIT;0; Rp-   ;2024
1888;15;JAMBI;1504;150403;27/08/2024;RUMAH TERENDAM;UNIT;0; Rp-   ;2024
1889;15;JAMBI;1504;150403;27/08/2024;SARANA PENDIDIKAN;UNIT;0; Rp-   ;2024
1890;15;JAMBI;1504;150403;27/08/2024;SARANA IBADAH;UNIT;0; Rp-   ;2024
1891;15;JAMBI;1504;150403;27/08/2024;SARANA KESEHATAN;UNIT;0; Rp-   ;2024
1892;15;JAMBI;1504;150403;27/08/2024;PERKANTORAN;UNIT;0; Rp-   ;2024
1893;15;JAMBI;1504;150403;27/08/2024;BANGUNAN LAIN;UNIT;0; Rp-   ;2024
1894;15;JAMBI;1504;150403;27/08/2024;JEMBATAN;UNIT;0; Rp-   ;2024
1895;15;JAMBI;1504;150403;27/08/2024;JALAN;KM;0; Rp-   ;2024
1896;15;JAMBI;1504;150403;27/08/2024;SAWAH;HA;100; Rp-   ;2024
1897;15;JAMBI;1504;150403;27/08/2024;KEBUN/HUTAN;HA;0; Rp-   ;2024
1898;15;JAMBI;1504;150403;27/08/2024;KOLAM;HA;0; Rp-   ;2024
1899;15;JAMBI;1504;150403;27/08/2024;IRIGASI;HA;0; Rp-   ;2024
1900;15;JAMBI;1504;150403;29/08/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
1901;15;JAMBI;1504;150403;29/08/2024;HILANG;JIWA;0; Rp-   ;2024
1902;15;JAMBI;1504;150403;29/08/2024;LUKA;JIWA;0; Rp-   ;2024
1903;15;JAMBI;1504;150403;29/08/2024;MENDERITA;JIWA;0; Rp-   ;2024
1904;15;JAMBI;1504;150403;29/08/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
1905;15;JAMBI;1504;150403;29/08/2024;RUMAH RUSAK BERAT;UNIT;0; Rp-   ;2024
1906;15;JAMBI;1504;150403;29/08/2024;RUMAH RUSAK SEDANG;UNIT;0; Rp-   ;2024
1907;15;JAMBI;1504;150403;29/08/2024;RUMAH RUSAK RINGAN;UNIT;0; Rp-   ;2024
1908;15;JAMBI;1504;150403;29/08/2024;RUMAH TERENDAM;UNIT;0; Rp-   ;2024
