id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_ruas;nama_ruas_jalan;no_jembatan_rekomendasi;nama_jembatan;panjang;satuan;tahun
173;15;JAMBI;1508;P.061;MUARA BUNGO  - PENINJAUAN-JUNCTION;P.11.061.023;BOX 7;5,4;METER;2024
174;15;JAMBI;1508;P.062;PENINJAU  - LUBUK MENGKUANG-TKA (BATAS  SUMBAR);P.11.062.001;SEI. MERANTI;31,5;METER;2024
175;15;JAMBI;1508;P.062;MUARA BUNGO  - PENINJAUAN-JUNCTION;P.11.062.001;SEI. BATANG TEBO DESA LUBUK TUO;70;METER;2024
176;15;JAMBI;1508;P.062;MUARA BUNGO  - PENINJAUAN-JUNCTION;P.11.062.002;JEMBATAN GEDANG;14;METER;2024
177;15;JAMBI;1508;P.062;MUARA BUNGO  - PENINJAUAN-JUNCTION;P.11.062.003;JEMBATAN PANTAI;17;METER;2024
178;15;JAMBI;1508;P.063;JLN LINGKAR MUARA BUNGO;P.11.063.001;SEI BTG.TEBO DS. TANJUNG MENANTI;252,6;METER;2024
179;15;JAMBI;1503;P.071;SIMPANG  PELAWAN  - SEI. SALAK;P.11.071.001;SEI. PELAWAN;32;METER;2024
180;15;JAMBI;1503;P.071;SIMPANG  PELAWAN  - SEI. SALAK;P.11.071.003;BOX II BARU;3;METER;2024
181;15;JAMBI;1503;P.071;SIMPANG  PELAWAN  - SEI. SALAK;P.11.071.004;BOX III BARU;3;METER;2024
182;15;JAMBI;1503;P.071;SIMPANG  PELAWAN  - SEI. SALAK;P.11.071.005;BOX IV BARU;2;METER;2024
183;15;JAMBI;1503;P.071;SIMPANG  PELAWAN  - SEI. SALAK;P.11.071.006;BOX V BARU;6;METER;2024
184;15;JAMBI;1503;P.071;SIMPANG  PELAWAN  - SEI. SALAK;P.11.071.007;BOX VI BARU;3;METER;2024
