no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;nama_hotel;data;tenaga_kerja;jumlah_tenaga_kerja;fasilitas;jenis_kamar;jumlah;jumlah_tempat_tidur
137;15;JAMBI;1506;150602;1506021018;Hotel Rivoli ;HOTEL NON BINTANG;L;0;0;Ac Ekonomi ;0;0
138;15;JAMBI;1509;150901;1509012003;Hotel Nabila ;HOTEL NON BINTANG;L;0;0;Single Bad Double Bad Family ;0;0
139;15;JAMBI;1509;150901;1509012003;Hotel Alya ;HOTEL NON BINTANG;L;0;0;Standar ;0;0
140;15;JAMBI;1509;150901;1509012003;Hotel GN ;HOTEL NON BINTANG;L;0;0;AC Ekonomi;0;0
141;15;JAMBI;1509;150901;1509012003;Hotel Sederhana ;HOTEL NON BINTANG;L;0;0;Lantai 1 Lantai 2 Lantai 3;0;0
142;15;JAMBI;1509;150901;1509012003;Penginapan Kurnia;HOTEL NON BINTANG;L;0;0;Standard Superior Executive;0;0
143;15;JAMBI;1509;150904;1509041001;Hotel Yossi ;HOTEL NON BINTANG;L;0;0;AC Ekonomi;0;0
144;15;JAMBI;1509;150904;1509041001;Hotel Grand Ratu ;HOTEL NON BINTANG;L;0;0;Melati ;0;0
145;15;JAMBI;1509;150904;1509041001;Hotel Lestari ;HOTEL NON BINTANG;L;0;0;AC Ekonomi;0;0
146;15;JAMBI;1509;150904;1509041001;Hotel Melissa ;HOTEL NON BINTANG;L;0;0;Vip I Vip II Ac I Ac II Ekonomi I Ekonomi II;0;0
147;15;JAMBI;1509;150904;1509041001;Hotel Linda ;HOTEL NON BINTANG;L;0;0;Standar ;0;0
148;15;JAMBI;1509;150904;1509041001;Hotel family ;HOTEL NON BINTANG;L;0;0;Standar Ii Standar I ;0;0
149;15;JAMBI;1509;150909;1509092003;Penginapan Juanta;HOTEL NON BINTANG;L;0;0;Kamar AC Standar;0;0
150;15;JAMBI;1509;150901;1509012003;Penginapan Plita ;HOTEL NON BINTANG;L;0;0;AC Standar Ekonomi ;0;0
151;15;JAMBI;1508;150803;1508031008;Hotel One ;HOTEL NON BINTANG;L;0;0;AC Standar ;0;0
152;15;JAMBI;1508;150803;1508031008;Hotel Swarnabhumi ;HOTEL NON BINTANG;L;0;0;Standar ;0;0
153;15;JAMBI;1508;150813;1508131001;Hotel Indra ;HOTEL NON BINTANG;L;0;0;AC Standar ;0;0
154;15;JAMBI;1508;150803;1508031008;Hotel Nora ;HOTEL NON BINTANG;L;0;0;Suite Room Vip Room Standar Extra Bed Standar Ekonomi ;0;0
155;15;JAMBI;1508;150803;1508031008;Hotel Ketayo ;HOTEL NON BINTANG;L;0;0;Ekonomi Standar Iii Standar Ii Standar I ;0;0
156;15;JAMBI;1508;150803;1508031008;Hotel Anda ;HOTEL NON BINTANG;L;0;0;Standar Bisnis Eksekutif ;0;0
157;15;JAMBI;1508;150803;1508031007;Hotel Merlin Mini ;HOTEL NON BINTANG;L;0;0;Vip Standar ;0;0
158;15;JAMBI;1508;150812;1502042007;Penginapan Sury ;HOTEL NON BINTANG;L;0;0;Junior Suite Suite Deluxe Superior Standar ;0;0
159;15;JAMBI;1508;150803;1508031023;Hotel Pelangi ;HOTEL NON BINTANG;L;0;0;AC Ekonomi;0;0
160;15;JAMBI;1508;150803;1508031023;Hotel Bunda ;HOTEL NON BINTANG;L;0;0;Kamar AC ;0;0
161;15;JAMBI;1508;150812;1502042007;Hotel Bintang ;HOTEL NON BINTANG;L;0;0;Standar Ekonomi I Ekonomi Ii Ekonomi Iii ;0;0
