no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;semester;jumlah;satuan;tahun
191;15;JAMBI;1571;157102;PEREKAMAN KTP;REKAM KTP;1;42023;JIWA;2022
192;15;JAMBI;1571;157103;PEREKAMAN KTP;REKAM KTP;1;48488;JIWA;2022
193;15;JAMBI;1571;157108;PEREKAMAN KTP;REKAM KTP;1;44052;JIWA;2022
194;15;JAMBI;1571;157107;PEREKAMAN KTP;REKAM KTP;1;58778;JIWA;2022
195;15;JAMBI;1571;157111;PEREKAMAN KTP;REKAM KTP;1;76006;JIWA;2022
196;15;JAMBI;1571;157104;PEREKAMAN KTP;REKAM KTP;1;8484;JIWA;2022
197;15;JAMBI;1571;157105;PEREKAMAN KTP;REKAM KTP;1;9353;JIWA;2022
198;15;JAMBI;1571;157101;PEREKAMAN KTP;REKAM KTP;1;35639;JIWA;2022
199;15;JAMBI;1572;157203;PEREKAMAN KTP;REKAM KTP;1;11446;JIWA;2022
200;15;JAMBI;1572;157207;PEREKAMAN KTP;REKAM KTP;1;6511;JIWA;2022
201;15;JAMBI;1572;157205;PEREKAMAN KTP;REKAM KTP;1;8006;JIWA;2022
202;15;JAMBI;1572;157202;PEREKAMAN KTP;REKAM KTP;1;8943;JIWA;2022
203;15;JAMBI;1572;157206;PEREKAMAN KTP;REKAM KTP;1;12964;JIWA;2022
204;15;JAMBI;1572;157208;PEREKAMAN KTP;REKAM KTP;1;7757;JIWA;2022
205;15;JAMBI;1572;157201;PEREKAMAN KTP;REKAM KTP;1;7310;JIWA;2022
206;15;JAMBI;1572;157204;PEREKAMAN KTP;REKAM KTP;1;8155;JIWA;2022
207;15;JAMBI;1502;150202;PEREKAMAN KTP;REKAM KTP;1;34105;JIWA;2022
208;15;JAMBI;1502;150210;PEREKAMAN KTP;REKAM KTP;1;8050;JIWA;2022
209;15;JAMBI;1502;150212;PEREKAMAN KTP;REKAM KTP;1;8196;JIWA;2022
210;15;JAMBI;1502;150201;PEREKAMAN KTP;REKAM KTP;1;7048;JIWA;2022
211;15;JAMBI;1502;150218;PEREKAMAN KTP;REKAM KTP;1;6897;JIWA;2022
212;15;JAMBI;1502;150209;PEREKAMAN KTP;REKAM KTP;1;10872;JIWA;2022
213;15;JAMBI;1502;150221;PEREKAMAN KTP;REKAM KTP;1;10000;JIWA;2022
214;15;JAMBI;1502;150203;PEREKAMAN KTP;REKAM KTP;1;7422;JIWA;2022
215;15;JAMBI;1502;150211;PEREKAMAN KTP;REKAM KTP;1;12577;JIWA;2022
216;15;JAMBI;1502;150206;PEREKAMAN KTP;REKAM KTP;1;24420;JIWA;2022
217;15;JAMBI;1502;150213;PEREKAMAN KTP;REKAM KTP;1;12607;JIWA;2022
218;15;JAMBI;1502;150220;PEREKAMAN KTP;REKAM KTP;1;7435;JIWA;2022
219;15;JAMBI;1502;150217;PEREKAMAN KTP;REKAM KTP;1;4789;JIWA;2022
220;15;JAMBI;1502;150219;PEREKAMAN KTP;REKAM KTP;1;10387;JIWA;2022
221;15;JAMBI;1502;150216;PEREKAMAN KTP;REKAM KTP;1;9206;JIWA;2022
222;15;JAMBI;1502;150204;PEREKAMAN KTP;REKAM KTP;1;7529;JIWA;2022
223;15;JAMBI;1502;150205;PEREKAMAN KTP;REKAM KTP;1;20615;JIWA;2022
224;15;JAMBI;1502;150223;PEREKAMAN KTP;REKAM KTP;1;6707;JIWA;2022
225;15;JAMBI;1502;150214;PEREKAMAN KTP;REKAM KTP;1;6619;JIWA;2022
226;15;JAMBI;1502;150222;PEREKAMAN KTP;REKAM KTP;1;5939;JIWA;2022
227;15;JAMBI;1502;150208;PEREKAMAN KTP;REKAM KTP;1;21045;JIWA;2022
228;15;JAMBI;1502;150215;PEREKAMAN KTP;REKAM KTP;1;5610;JIWA;2022
229;15;JAMBI;1502;150207;PEREKAMAN KTP;REKAM KTP;1;6008;JIWA;2022
230;15;JAMBI;1502;150224;PEREKAMAN KTP;REKAM KTP;1;3564;JIWA;2022
231;15;JAMBI;1505;150510;PEREKAMAN KTP;REKAM KTP;1;12107;JIWA;2022
232;15;JAMBI;1505;150509;PEREKAMAN KTP;REKAM KTP;1;10110;JIWA;2022
233;15;JAMBI;1505;150501;PEREKAMAN KTP;REKAM KTP;1;49325;JIWA;2022
234;15;JAMBI;1505;150503;PEREKAMAN KTP;REKAM KTP;1;18546;JIWA;2022
235;15;JAMBI;1505;150506;PEREKAMAN KTP;REKAM KTP;1;43043;JIWA;2022
236;15;JAMBI;1505;150504;PEREKAMAN KTP;REKAM KTP;1;16160;JIWA;2022
237;15;JAMBI;1505;150505;PEREKAMAN KTP;REKAM KTP;1;30350;JIWA;2022
238;15;JAMBI;1505;150502;PEREKAMAN KTP;REKAM KTP;1;32861;JIWA;2022
239;15;JAMBI;1505;150507;PEREKAMAN KTP;REKAM KTP;1;21011;JIWA;2022
240;15;JAMBI;1505;150508;PEREKAMAN KTP;REKAM KTP;1;51312;JIWA;2022
241;15;JAMBI;1505;150511;PEREKAMAN KTP;REKAM KTP;1;9944;JIWA;2022
242;15;JAMBI;1503;150307;PEREKAMAN KTP;REKAM KTP;1;17722;JIWA;2022
243;15;JAMBI;1503;150301;PEREKAMAN KTP;REKAM KTP;1;12661;JIWA;2022
244;15;JAMBI;1503;150308;PEREKAMAN KTP;REKAM KTP;1;14392;JIWA;2022
245;15;JAMBI;1503;150310;PEREKAMAN KTP;REKAM KTP;1;8878;JIWA;2022
246;15;JAMBI;1503;150302;PEREKAMAN KTP;REKAM KTP;1;12260;JIWA;2022
247;15;JAMBI;1503;150306;PEREKAMAN KTP;REKAM KTP;1;16076;JIWA;2022
248;15;JAMBI;1503;15030;PEREKAMAN KTP;REKAM KTP;1;9100;JIWA;2022
249;15;JAMBI;1503;150304;PEREKAMAN KTP;REKAM KTP;1;16392;JIWA;2022
250;15;JAMBI;1503;150305;PEREKAMAN KTP;REKAM KTP;1;23660;JIWA;2022
251;15;JAMBI;1503;150303;PEREKAMAN KTP;REKAM KTP;1;38474;JIWA;2022
252;15;JAMBI;1503;150309;PEREKAMAN KTP;REKAM KTP;1;28115;JIWA;2022
253;15;JAMBI;1506;150607;PEREKAMAN KTP;REKAM KTP;1;21569;JIWA;2022
254;15;JAMBI;1506;150604;PEREKAMAN KTP;REKAM KTP;1;20409;JIWA;2022
255;15;JAMBI;1506;150611;PEREKAMAN KTP;REKAM KTP;1;13325;JIWA;2022
256;15;JAMBI;1506;150612;PEREKAMAN KTP;REKAM KTP;1;9728;JIWA;2022
257;15;JAMBI;1506;150605;PEREKAMAN KTP;REKAM KTP;1;10945;JIWA;2022
258;15;JAMBI;1506;150609;PEREKAMAN KTP;REKAM KTP;1;7099;JIWA;2022
259;15;JAMBI;1506;150603;PEREKAMAN KTP;REKAM KTP;1;18782;JIWA;2022
260;15;JAMBI;1506;150608;PEREKAMAN KTP;REKAM KTP;1;10414;JIWA;2022
261;15;JAMBI;1506;150610;PEREKAMAN KTP;REKAM KTP;1;6565;JIWA;2022
262;15;JAMBI;1506;150613;PEREKAMAN KTP;REKAM KTP;1;18003;JIWA;2022
263;15;JAMBI;1506;150606;PEREKAMAN KTP;REKAM KTP;1;23776;JIWA;2022
264;15;JAMBI;1506;150602;PEREKAMAN KTP;REKAM KTP;1;51777;JIWA;2022
265;15;JAMBI;1506;150601;PEREKAMAN KTP;REKAM KTP;1;9782;JIWA;2022
266;15;JAMBI;1507;150711;PEREKAMAN KTP;REKAM KTP;1;7596;JIWA;2022
267;15;JAMBI;1507;150706;PEREKAMAN KTP;REKAM KTP;1;12196;JIWA;2022
268;15;JAMBI;1507;150710;PEREKAMAN KTP;REKAM KTP;1;18918;JIWA;2022
269;15;JAMBI;1507;150708;PEREKAMAN KTP;REKAM KTP;1;10614;JIWA;2022
270;15;JAMBI;1507;150703;PEREKAMAN KTP;REKAM KTP;1;19254;JIWA;2022
271;15;JAMBI;1507;150709;PEREKAMAN KTP;REKAM KTP;1;11751;JIWA;2022
272;15;JAMBI;1507;150707;PEREKAMAN KTP;REKAM KTP;1;15461;JIWA;2022
273;15;JAMBI;1507;150701;PEREKAMAN KTP;REKAM KTP;1;23744;JIWA;2022
274;15;JAMBI;1507;150702;PEREKAMAN KTP;REKAM KTP;1;19067;JIWA;2022
275;15;JAMBI;1507;150704;PEREKAMAN KTP;REKAM KTP;1;18585;JIWA;2022
276;15;JAMBI;1507;150705;PEREKAMAN KTP;REKAM KTP;1;9334;JIWA;2022
277;15;JAMBI;1509;150912;PEREKAMAN KTP;REKAM KTP;1;12681;JIWA;2022
