NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;satuan;semester;jumlah_penduduk;tahun
461;15;JAMBI;1501;150116;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;138;2022
33;15;JAMBI;1501;150117;AKTA LAHIR;MEMILIKI;JIWA;1;3857;2022
177;15;JAMBI;1501;150117;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;323;2022
321;15;JAMBI;1501;150117;AKTA LAHIR;UMUR 0-18;JIWA;1;4180;2022
444;15;JAMBI;1501;150117;AKTA LAHIR;MEMILIKI;JIWA;2;4094;2022
462;15;JAMBI;1501;150117;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;62;2022
42;15;JAMBI;1501;150118;AKTA LAHIR;MEMILIKI;JIWA;1;2872;2022
186;15;JAMBI;1501;150118;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;202;2022
330;15;JAMBI;1501;150118;AKTA LAHIR;UMUR 0-18;JIWA;1;3074;2022
445;15;JAMBI;1501;150118;AKTA LAHIR;MEMILIKI;JIWA;2;2969;2022
463;15;JAMBI;1501;150118;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;49;2022
38;15;JAMBI;1501;150119;AKTA LAHIR;MEMILIKI;JIWA;1;5718;2022
182;15;JAMBI;1501;150119;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;402;2022
326;15;JAMBI;1501;150119;AKTA LAHIR;UMUR 0-18;JIWA;1;6120;2022
446;15;JAMBI;1501;150119;AKTA LAHIR;MEMILIKI;JIWA;2;6118;2022
464;15;JAMBI;1501;150119;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;84;2022
30;15;JAMBI;1501;150120;AKTA LAHIR;MEMILIKI;JIWA;1;3258;2022
174;15;JAMBI;1501;150120;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;379;2022
318;15;JAMBI;1501;150120;AKTA LAHIR;UMUR 0-18;JIWA;1;3637;2022
447;15;JAMBI;1501;150120;AKTA LAHIR;MEMILIKI;JIWA;2;3537;2022
465;15;JAMBI;1501;150120;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;69;2022
