id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;kategori_terdampak_bencana;keterangan;satuan;jumlah_kejadian; jumlah_kerugian ;tahun
105;15;JAMBI ;1507;150701;17/03/2025;KORBAN;MENGUNGSI;JIWA;0;0;2025
106;15;JAMBI ;1507;150701;17/03/2025;KERUSAKAN;RUMAH RB;UNIT;0;0;2025
107;15;JAMBI ;1507;150701;17/03/2025;KERUSAKAN;RUMAH RS;UNIT;0;0;2025
108;15;JAMBI ;1507;150701;17/03/2025;KERUSAKAN;RUMAH RR;UNIT;2;0;2025
109;15;JAMBI ;1507;150701;17/03/2025;KERUSAKAN;RUMAH TERENDAM;UNIT;0;0;2025
110;15;JAMBI ;1507;150701;17/03/2025;KERUSAKAN;SARANA PENDIDIKAN;UNIT;0;0;2025
111;15;JAMBI ;1507;150701;17/03/2025;KERUSAKAN;SARANA IBADAH;UNIT;0;0;2025
112;15;JAMBI ;1507;150701;17/03/2025;KERUSAKAN;SARANA KESEHATAN;UNIT;0;0;2025
113;15;JAMBI ;1507;150701;17/03/2025;KERUSAKAN;PERKANTORAN;UNIT;0;0;2025
114;15;JAMBI ;1507;150701;17/03/2025;KERUSAKAN;BANGUNAN LAIN;UNIT;0;0;2025
115;15;JAMBI ;1507;150701;17/03/2025;KERUSAKAN;JEMBATAN;UNIT;0;0;2025
116;15;JAMBI ;1507;150701;17/03/2025;KERUSAKAN;JALAN;KM;0;0;2025
117;15;JAMBI ;1507;150701;17/03/2025;KERUSAKAN;SAWAH;HA;0;0;2025
118;15;JAMBI ;1507;150701;17/03/2025;KERUSAKAN;KEBUN/HUTAN;HA;0;0;2025
119;15;JAMBI ;1507;150701;17/03/2025;KERUSAKAN;KOLAM;HA;0;0;2025
120;15;JAMBI ;1507;150701;17/03/2025;KERUSAKAN;IRIGASI;HA;0;0;2025
121;15;JAMBI ;1506;150602;17/03/2025;KORBAN;MENINGGAL;JIWA;0;20000000;2025
122;15;JAMBI ;1506;150602;17/03/2025;KORBAN;HILANG;JIWA;0;20000000;2025
123;15;JAMBI ;1506;150602;17/03/2025;KORBAN;LUKA;JIWA;0;20000000;2025
124;15;JAMBI ;1506;150602;17/03/2025;KORBAN;MENDERITA;JIWA;17;20000000;2025
125;15;JAMBI ;1506;150602;17/03/2025;KORBAN;MENGUNGSI;JIWA;0;20000000;2025
126;15;JAMBI ;1506;150602;17/03/2025;KERUSAKAN;RUMAH RB;UNIT;0;20000000;2025
127;15;JAMBI ;1506;150602;17/03/2025;KERUSAKAN;RUMAH RS;UNIT;0;20000000;2025
128;15;JAMBI ;1506;150602;17/03/2025;KERUSAKAN;RUMAH RR;UNIT;0;20000000;2025
129;15;JAMBI ;1506;150602;17/03/2025;KERUSAKAN;RUMAH TERENDAM;UNIT;0;20000000;2025
130;15;JAMBI ;1506;150602;17/03/2025;KERUSAKAN;SARANA PENDIDIKAN;UNIT;0;20000000;2025
131;15;JAMBI ;1506;150602;17/03/2025;KERUSAKAN;SARANA IBADAH;UNIT;0;20000000;2025
132;15;JAMBI ;1506;150602;17/03/2025;KERUSAKAN;SARANA KESEHATAN;UNIT;0;20000000;2025
133;15;JAMBI ;1506;150602;17/03/2025;KERUSAKAN;PERKANTORAN;UNIT;0;20000000;2025
134;15;JAMBI ;1506;150602;17/03/2025;KERUSAKAN;BANGUNAN LAIN;UNIT;0;20000000;2025
135;15;JAMBI ;1506;150602;17/03/2025;KERUSAKAN;JEMBATAN;UNIT;0;20000000;2025
136;15;JAMBI ;1506;150602;17/03/2025;KERUSAKAN;JALAN;KM;0;20000000;2025
137;15;JAMBI ;1506;150602;17/03/2025;KERUSAKAN;SAWAH;HA;0;20000000;2025
138;15;JAMBI ;1506;150602;17/03/2025;KERUSAKAN;KEBUN/HUTAN;HA;0;20000000;2025
139;15;JAMBI ;1506;150602;17/03/2025;KERUSAKAN;KOLAM;HA;0;20000000;2025
140;15;JAMBI ;1506;150602;17/03/2025;KERUSAKAN;IRIGASI;HA;0;20000000;2025
